Teste,Tipo,Dimens\~{a}o,Erro,Res\'{i}duo
1,1,4,0.7369561647377075,10.03481057068221
2,2,5,0.8898592412119106,9.862957275158111
3,3,4,Inf,Inf
4,4,10,0.9966070606407333,94.13314246212452
5,4,50,0.9999980420489145,21946.74961460214
6,4,100,0.9999847932650061,8564.942051961587
7,5,10,0.9696877727435457,9.50726077941043
8,5,50,0.9977697892612936,145.562106291756
9,5,100,0.9987282575347591,490.3942852065826
