Teste,Tipo,Dimens\~{a}o,Erro,Res\'{i}duo
1,1,4,0.8549342649563653,9.481396680651567
2,2,5,1,10.56380934472532
3,3,4,Inf,Inf
4,4,10,0.9754138372125544,21.04252058039082
5,4,50,Inf,Inf
6,4,100,Inf,Inf
7,5,10,0.9392543825421411,7.699973168844339
8,5,50,0.9986140124098517,138.0954579321316
9,5,100,0.9986167398759752,519.5944893633315
