Teste,Tipo,Dimens\~{a}o,Erro,Res\'{i}duo
1,1,4,0.8797785181121536,8.799083468290393
2,2,5,1.092974207331633,10.6316874880235
3,3,4,Inf,Inf
4,4,10,0.998454343257291,157.0251623865202
5,4,50,0.9999825440377049,3594.233745491001
6,4,100,Inf,Inf
7,5,10,0.8943009928251029,7.523583818175339
8,5,50,0.9992169150546899,143.2374278276319
9,5,100,0.9998304712553303,576.8050362325066
